Question,Ground Truth Answer,LLM Generated Answer,Document Retrieval Score,Faithfulness Score
How are household and personal effects valued for estate tax purposes under § 20.2031-6?,"The fair market value is the price a willing buyer would pay to a willing seller. A room-by-room itemization is desirable. For articles with marked artistic or intrinsic value totaling over $3,000 (e.g., jewelry, paintings), an expert's appraisal under oath must be filed with the return. References: Document: CFR-2025-title26-vol16-part20 Pages: 222-223 (§ 20.2031-6)","Household and personal effects are valued at their fair‑market value, defined as the price a willing buyer would pay to a willing seller, neither party being compelled to transact and both having reasonable knowledge of the relevant facts. The valuation must be presented in a room‑by‑room itemized list. Each article should be named specifically; items in the same room that each have a value of $100 or less may be grouped together, but a separate value must be given for each named article.  

If an itemized list cannot be furnished, the executor may submit a written statement made under penalties of perjury that sets forth the aggregate value as appraised by a competent appraiser or dealer of recognized standing and ability.  

A special rule applies when the decedent’s household and personal effects include articles with marked artistic or intrinsic value whose total value exceeds $3,000 (e.g., jewelry, furs, silverware, paintings, etchings, engravings, antiques, books, statuary, vases, oriental rugs, coin or stamp collections). In such cases, an expert appraisal under oath must be filed with the return, accompanied by a written statement of the executor declaring the completeness of the itemized list and the disinterested character and qualifications of the appraiser(s).  

If any portion of the household or personal effects is to be sold or distributed before an IRS investigation, the executor must notify the district director, provide an appraisal under oath, and submit a written statement under penalties of perjury as described above.  

**References**  
1. Document: CFR-2025-title26-vol16-part20  
   Type: Tax Document  
   Pages: 48-49",NO,YES
"According to § 20.2031-7, how is the fair market value of annuities, life estates, remainders, and reversionary interests determined for estates with a valuation date on or after June 1, 2023?","The fair market value is determined by using standard or special section 7520 actuarial factors, which are derived using the appropriate section 7520 interest rate and, if applicable, the mortality component (Table 2010CM) for the valuation date. References: Document: CFR-2025-title26-vol16-part20 Pages: 223-224 (§ 20.2031-7)","The supplied documents do not contain any provision of § 20.2031‑7 that addresses valuation dates on or after June 1, 2023. The only relevant excerpt provided discusses valuation dates before that date (e.g., “on or after May 1, 2009, and before June 1, 2023”). Because no text is available for the period beginning June 1, 2023, the documents do not provide enough information to answer the question with confidence.

References  
1. Document: CFR‑2025‑title26‑vol16‑part20  
   Type: Tax Document  
   Pages: 153",NO,NO
What is the rule for valuing shares in an open-end investment company (mutual fund) under § 20.2031-8?,"The fair market value is the public redemption price of a share. In the absence of an affirmative showing of the public redemption price in effect at the time of death, the last public redemption price quoted by the company for the date of death shall be presumed to be the applicable redemption price. References: Document: CFR-2025-title26-vol16-part20 Pages: 239 (§ 20.2031-8)","The fair‑market value of a share in an open‑end investment company (a mutual fund) is the public redemption price of that share.  
If no public redemption price is shown to be in effect at the time of the gift, the last public redemption price quoted by the company for the date of the gift is presumed to be the applicable price.  
When no price is quoted for the date of the gift (e.g., the date is a Saturday, Sunday, or holiday), the fair‑market value is the last public redemption price quoted by the company for the first preceding day that has a quotation.  
The term “open‑end investment company” applies only to a company that, on the date of the gift, was engaged in offering its shares to the public in the capacity of an open‑end investment company.  

References  
1. Document: CFR‑2025‑title26‑vol16‑part25  
   Type: Tax Document  
   Pages: 44-44  
2. Document: CFR‑2025‑title26‑vol16‑part20  
   Type: Tax Document  
   Pages: 65-66",NO,NO
"Under the alternate valuation method (section 2032) and § 20.2032-1, when is property considered ""distributed, sold, exchanged, or otherwise disposed of""?","The phrase comprehends all ways by which property ceases to form a part of the gross estate. It includes the surrender of a stock certificate for corporate assets but does not extend to transactions which are mere changes in form, such as a tax-free exchange under section 351. References: Document: CFR-2025-title26-vol16-part20 Pages: 240-241 (§ 20.2032-1)","Property is treated as “distributed, sold, exchanged, or otherwise disposed of” when it is first disposed of within the period specified in § 20.2032‑1.  Specifically, any property that is distributed, sold, exchanged, or otherwise disposed of within six months (or one year if the decedent died on or before December 31, 1970) after the decedent’s death is valued as of the date on which that disposition first occurs.  In addition, if a contract for such a disposition is entered into, the property is considered disposed of on the effective date of the contract—normally the date the contract is entered into—unless the contract is not subsequently carried out substantially in accordance with its terms.

References  
1. Document: CFR‑2025‑title26‑vol16‑part20  
   Type: Tax Document  
   Pages: 65‑66  
2. Document: CFR‑2025‑title26‑vol16‑part20  
   Type: Tax Document  
   Pages: 67",NO,NO
What are the material participation requirements for special use valuation of farm property under § 20.2032A-3?,The deceased owner and/or a family member must materially participate in the operation of the farm or other business. This participation must last for periods totaling 5 years or more during the 8 years immediately preceding the date of death. Actual employment on a substantially full-time basis (35 hours a week or more) or personal management of the farm is required. References: Document: CFR-2025-title26-vol16-part20 Pages: 244-245 (§ 20.2032A-3),"The special‑use valuation under § 20.2032A–3 applies only when the deceased owner or a member of the owner’s family **materially participates** in the farm or other business in which the property is used.  Material participation is a factual determination that requires active involvement in the day‑to‑day operations and financial risks of the enterprise.  Passive activities—such as collecting rents, salaries, draws, dividends, or other income—do **not** satisfy the requirement.  Likewise, merely advancing capital and reviewing a crop plan or other business proposal and financial reports each season or business year is insufficient.  The determination depends on the mode of ownership of the property and of any business in which it is used, and it must be documented by the executor when making the special‑valuation election.  

**References**  
1. Document: CFR‑2025‑title26‑vol16‑part20  
   Type: Tax Document  
   Pages: 70‑71",NO,YES
"What is the condition for an interest in transferred property to be included in the gross estate under a transfer taking effect at death, as per § 20.2037-1?","An interest is included if (1) possession or enjoyment of the property could, through ownership of the interest, have been obtained only by surviving the decedent, (2) the decedent had retained a reversionary interest in the property, and (3) the value of that reversionary interest immediately before the decedent's death exceeded 5 percent of the value of the entire property. References: Document: CFR-2025-title26-vol16-part20 Pages: 264 (§ 20.2037-1)","An interest in transferred property is includible in the decedent’s gross estate only when the beneficiary could obtain possession or enjoyment of the property **solely by surviving the decedent**. If, immediately before death, the beneficiary could have obtained the interest either by surviving the decedent **or** by the occurrence of some other event (e.g., the expiration of a term of years), the interest is **not** includible. Only when the “other event” is unreal and the death occurs before it, so that survival of the decedent is the exclusive means of obtaining the interest, does the interest become includible in the gross estate.  

References  
1. Document: CFR-2025-title26-vol16-part20  
   Type: Tax Document  
   Pages: 91‑92 (paragraph (b) Condition of survivorship)",NO,NO
"According to § 20.2038-1, what type of revocable transfers are included in a decedent's gross estate?","The gross estate includes the value of any interest in property transferred by the decedent if the enjoyment of the interest was subject at the date of death to any change through the exercise of a power by the decedent to alter, amend, revoke, or terminate. It is immaterial in what capacity the power was exercisable or whether it was exercisable alone or with another. References: Document: CFR-2025-title26-vol16-part20 Pages: 268 (§ 20.2038-1)","A revocable transfer is includable in the decedent’s gross estate when the decedent retained a power that, at the time of death, could change the beneficial enjoyment of the transferred interest—i.e., a power to **alter, amend, revoke, or terminate** the interest—or when the decedent **relinquished such a power in contemplation of death**. These interests are included under § 20.2038‑1(a) unless the transfer was for adequate full consideration, the power could be exercised only with the consent of all interested parties and added no rights under local law, or the power was held solely by someone other than the decedent.  

**References**  
1. Document: CFR-2025-title26-vol16-part20  
   Type: Tax Document  
   Pages: 93-94",NO,YES
"Under § 20.2039-1, what is the general rule for including annuities in a decedent's gross estate?",The gross estate includes the value of an annuity or other payment receivable by any beneficiary by reason of surviving the decedent under certain agreements or plans. This applies to the extent the value is attributable to contributions made by the decedent or his employer under a contract where an annuity was payable to the decedent for his life or he possessed the right to receive such payments. References: Document: CFR-2025-title26-vol16-part20 Pages: 269-270 (§ 20.2039-1),"The general rule in § 20.2039‑1 is that the value of any annuity (or other payment) that the decedent could receive—or that is payable to the decedent—for his life or for a period that cannot be determined without reference to his death is includable in the decedent’s gross estate. This rule applies to contracts or agreements entered into after March 3, 1931.  

References  
1. Document: CFR-2025-title26-vol16-part20  
   Type: Tax Document  
   Pages: 95‑96",NO,NO
"Under § 20.2040-1, how is jointly held property included in a decedent's gross estate?","The value of property held jointly with another person with right of survivorship is included to the extent that the property was acquired by the decedent and the other joint owner by gift, devise, bequest, or inheritance (only the decedent's share is included). In all other cases, the entire value is included except for the portion attributable to consideration furnished by the other joint owner. References: Document: CFR-2025-title26-vol16-part20 Pages: 283-284 (§ 20.2040-1)","The default rule in § 20.2040‑1 is that the **entire fair‑market value of property held jointly with another person is included in the decedent’s gross estate**.  Inclusion is reduced only when the executor can present sufficient facts showing either  

1. the property was **not acquired entirely with consideration furnished by the decedent**, or  
2. the joint interest was **acquired by gift, bequest, devise, or inheritance**.  

If the executor cannot meet one of those exceptions, the whole value is taxable.  The regulation further illustrates how the inclusion is apportioned when the decedent’s contribution is partial: the portion of the value corresponding to the decedent’s share of the purchase price is included (e.g., full purchase price → full inclusion; partial purchase price → proportional inclusion; no purchase price → no inclusion)【1†L1-L9】【1†L10-L14】.  

Thus, under § 20.2040‑1, jointly held property is generally fully includable in the decedent’s estate unless the executor proves the property was not wholly purchased with the decedent’s money or was obtained by a non‑consideration transfer such as a gift or inheritance.  

**References**  
1. Document: CFR-2025-title26-vol16-part20  
   Type: Tax Document  
   Pages: 110-111  
2. Document: CFR-2025-title26-vol16-part20  
   Type: Tax Document  
   Pages: 277-278",NO,YES
"As defined in § 20.2041-1, what is a ""general power of appointment""?","A ""general power of appointment"" is any power of appointment exercisable in favor of the decedent, his estate, his creditors, or the creditors of his estate. This definition does not include joint powers or certain powers limited by an ascertainable standard (relating to health, education, support, or maintenance). References: Document: CFR-2025-title26-vol16-part20 Pages: 285-286 (§ 20.2041-1)","A “general power of appointment” is any power of appointment that may be exercised in favor of the holder (the “possessor”), the holder’s estate, the holder’s creditors, or the creditors of the holder’s estate, unless the instrument:

* limits the power to one or more designated persons or classes other than the possessor, the possessor’s estate, or the possessor’s creditors (or the creditors of the estate); or  
* expressly provides that the power is not exercisable in favor of the possessor, the possessor’s estate, or the possessor’s creditors (or the creditors of the estate); or  
* limits the power by an ascertainable standard relating to the holder’s health, education, support, or maintenance.

Joint powers are excluded to the extent provided in the regulations.  

References  
1. Document: CFR-2025-title26-vol16-part25  
   Type: Tax Document  
   Pages: 49-49  
2. Document: CFR-2025-title26-vol16-part20  
   Type: Tax Document  
   Pages: 112-112",NO,YES
"Under § 20.2042-1, when are the proceeds of life insurance receivable by other beneficiaries included in the gross estate?","The proceeds are included if the decedent possessed at the date of his death any of the incidents of ownership in the policy, exercisable either alone or in conjunction with any other person. ""Incidents of ownership"" includes the power to change the beneficiary, to surrender or cancel the policy, or to assign the policy. References: Document: CFR-2025-title26-vol16-part20 Pages: 295 (§ 20.2042-1)","The proceeds of a life‑insurance policy that are payable to a beneficiary other than the estate are includable in the decedent’s gross estate **when the decedent possessed any “incidents of ownership” in the policy at the date of death (or had transferred those incidents in contemplation of death).** If the decedent did not have any such incidents of ownership at death and made no transfer in contemplation of death, the proceeds payable to other beneficiaries are **not** includable under § 20.2042‑1.

References  
1. Document: CFR-2025-title26-vol16-part20  
   Type: Tax Document  
   Pages: 121  
2. Document: CFR-2025-title26-vol16-part20  
   Type: Tax Document  
   Pages: 121",NO,YES
"What is the general rule for deducting expenses, indebtedness, and taxes under § 20.2053-1?","Deductions are allowed for amounts payable out of property subject to claims (funeral expenses, administration expenses, claims, unpaid mortgages) and for expenses incurred in administering property not subject to claims. The deductions must be bona fide in nature and, if involving family members, should be substantiated with contemporaneous evidence and be at arm's length. References: Document: CFR-2025-title26-vol16-part20 Pages: 351-353 (§ 20.2053-1)","The general rule in § 20.2053‑1 is that, when the taxable estate of a U.S. citizen or resident decedent is computed, deductions for expenses, indebtedness, and taxes are permitted only for amounts that fall within two prescribed categories and are subject to the limitations of this section (and §§ 20.2053‑2 through 20.2053‑10).

1. **First category** – amounts payable out of property that is subject to claims and that are “allowable by the law of the jurisdiction” under which the estate is administered.  This includes:  
   * funeral expenses;  
   * administration expenses;  
   * claims against the estate (including taxes as set out in § 20.2053‑6 and charitable pledges under § 20.2053‑5); and  
   * unpaid mortgages or other indebtedness on property whose value is included in the gross estate undiminished by the mortgage or indebtedness.  

2. **Second category** – amounts representing expenses incurred in administering property that is included in the gross estate but is **not** subject to claims, provided that:  
   * the expense would be deductible under the first category if the property were subject to claims; and  
   * the expense was paid before the limitation period for assessment under § 6501 expires.  

**Provisions applicable to both categories** – An item not described in paragraph (a) is not deductible merely because local law permits its payment, and a deduction may not exceed any limitation imposed by that local law.  

Thus, deductions are limited to the two enumerated categories and must comply with any jurisdictional caps; all other payments are nondeductible.  

**References**  
1. Document: CFR‑2025‑title26‑vol16‑part20  
   Type: Tax Document  
   Pages: 177‑178.  

2. Document: CFR‑2025‑title26‑vol16‑part20  
   Type: Tax Document  
   Pages: 177.   (same source for the general rule language)",NO,YES
"Under § 20.2053-3, how are ""administration expenses"" generally defined and what categories are included?","Administration expenses are amounts actually and necessarily incurred in the collection of assets, payment of debts, and distribution of property. They include executor's commissions, attorney's fees, and miscellaneous expenses (court costs, accountants' fees, appraisal fees). Expenses for the individual benefit of heirs are not deductible. References: Document: CFR-2025-title26-vol16-part20 Pages: 357-358 (§ 20.2053-3)","""Administration expenses"" under § 20.2053‑3 are limited to amounts that are **actually and necessarily incurred in the administration of the decedent’s estate**—specifically, expenses related to the collection of assets, the payment of debts, and the distribution of property to the persons entitled to it. The provision expressly lists three categories of expenses that qualify:

1. **Executor’s commissions**  
2. **Attorney’s fees**  
3. **Miscellaneous expenses**  

Only expenses falling within these categories and meeting the “actually and necessarily incurred” standard are deductible as administration expenses of the first category.

**References**
1. Document: CFR-2025-title26-vol16-part20  
   Type: Tax Document  
   Pages: 183‑184",NO,YES
"What is the general deduction allowed for transfers for public, charitable, and religious uses under § 20.2055-1?","A deduction is allowed for property transferred to or for the use of the United States or its political subdivisions, corporations organized and operated exclusively for charitable purposes, trustees for such purposes, or veterans' organizations incorporated by act of Congress. The deduction is not limited to domestic organizations or use within the United States. References: Document: CFR-2025-title26-vol16-part20 Pages: 372-373 (§ 20.2055-1)","The deduction under § 20.2055‑1 is the full amount of the property transferred for public, charitable, or religious purposes; it is not capped by any percentage limitation and is not confined to transfers to domestic corporations or associations.  

References  
1. Document: CFR-2025-title26-vol16-part20  
   Type: Tax Document  
   Pages: 198‑199  
2. Document: CFR-2025-title26-vol16-part20  
   Type: Tax Document  
   Pages: 2",NO,YES
"According to § 20.2056A-2, what are the requirements for a trust to qualify as a Qualified Domestic Trust (QDOT)?","A QDOT must satisfy the qualified marital interest requirements (passing as a life estate with power, QTIP, estate trust, etc.), statutory requirements (at least one U.S. Trustee and no more than 35% of assets in foreign real property unless security is provided), and additional requirements to ensure collection of the section 2056A estate tax, including providing security if assets exceed $2 million. References: Document: CFR-2025-title26-vol16-part20 Pages: 249-250 (§ 20.2056A-2)","A trust will qualify as a Qualified Domestic Trust (QDOT) only if it satisfies **all** of the following elements set out in § 20.2056A‑2:

**1. General structural requirements (paragraph (a))**  
* The trust must be **maintained under the laws of a State of the United States or the District of Columbia** and its administration must be governed by the laws of a particular State or the District of Columbia.  A trust is “maintained” in a State when its records (or copies) are kept in that State.  
* The trust may be created by an instrument executed under foreign law **provided the instrument designates the law of a U.S. State or the District of Columbia as the governing law of administration** and that designation is effective under the foreign jurisdiction.  
* The trust must be an **ordinary trust** as defined in § 301.7701‑4(a); it cannot be any other type of entity, and the nature of the assets transferred does not defeat this requirement.  
* The executor of the decedent’s estate and the U.S. Trustee must certify on the estate‑tax return that the requirements of paragraphs (b) and (c) of this section and the requirements of § 20.2056A‑2T(d) have been satisfied or are being complied with.【Document: CFR-2025-title26-vol16-part20, Type: Tax Document, Pages: 249-250】

**2. Qualified marital‑interest requirements (paragraph (b))**  
* **Property that passes directly to a QDOT** must qualify for the federal estate‑tax marital deduction under one of the following:  
  – a life estate with a power of appointment (§ 2056(b)(5));  
  – qualified terminable interest property (QTIP), including joint‑and‑survivor annuities (§ 2056(b)(7));  
  – a charitable remainder trust where the surviving spouse is the only non‑charitable beneficiary (§ 2056(b)(8)); or  
  – an “estate trust” that meets the definition in § 20.2056(c)‑2(b)(1)(i)‑(iii).【Document: CFR-2025-title26-vol16-part20, Type: Tax Document, Pages: 250】

* **Property that passes outright to the non‑citizen surviving spouse** (i.e., not to a QDOT) must be **actually transferred or irrevocably assigned** to a trust that meets the statutory and regulatory requirements of paragraph (c) and § 20.2056A‑2T(d) **before the filing of the estate‑tax return** and on or before the last date the QDOT election may be made.【Document: CFR-2025-title26-vol16-part20, Type: Tax Document, Pages: 250】

* **Property that passes under a non‑transferable plan or arrangement** that otherwise qualifies for the marital deduction is treated as meeting the QDOT requirements if the plan satisfies the conditions of § 20.2056A‑4(c).【Document: CFR-2025-title26-vol16-part20, Type: Tax Document, Pages: 250】

**3. Statutory requirements (paragraph (c))**  
* The trust must satisfy the substantive requirements of **section 2056A(a)(1)(A) and (B)** (the statutory provisions that impose the estate‑tax collection obligations on a QDOT).【Document: CFR-2025-title26-vol16-part20, Type: Tax Document, Pages: 250】

**4. Additional requirements to ensure collection of the § 2056A estate tax (paragraph (d))**  
* **Security or other arrangements** must be in place to guarantee payment of the estate tax imposed under § 2056A(b)(1).  
* The trust must have **individual trustees** (as opposed to corporate or other collective trustees).  
* **Annual reporting** to the IRS is required.  
* The trustee may **request an alternate arrangement or a waiver** of certain requirements.  
* The regulations provide for **adjustments of dollar thresholds and exclusions** and specify **effective dates and special rules**.【Document: CFR-2025-title26-vol16-part20, Type: Tax Document, Pages: 247-248】

**5. Compliance certification**  
* The executor and the U.S. Trustee must certify on the estate‑tax return that the above requirements have been satisfied or are being complied with, in the manner prescribed by the Commissioner.【Document: CFR-2025-title26-vol16-part20, Type: Tax Document, Pages: 249-250】

Together, these elements constitute the full set of conditions a trust must meet to be treated as a Qualified Domestic Trust under § 20.2056A‑2.  

**References**  
1. Document: CFR-2025-title26-vol16-part20  
   Type: Tax Document  
   Pages: 249-250  
2. Document: CFR-2025-title26-vol16-part20  
   Type: Tax Document  
   Pages: 250  
3. Document: CFR-2025-title26-vol16-part20  
   Type: Tax Document  
   Pages: 247-248",YES,YES
"Under the estate tax regulations for nonresidents not citizens, what is the unified credit allowed against the tax imposed by section 2101 as per § 20.2102-1?","A unified credit of $13,000 is allowed against the tax, subject to limitations. If required under a treaty obligation, the estate is allowed the unified credit permitted to a U.S. citizen or resident ($192,800), multiplied by the proportion that the gross estate situated in the U.S. bears to the decedent's total gross estate. References: Document: CFR-2025-title26-vol16-part20 Pages: 282 (§ 20.2102-1)","$13,000 is the basic unified credit allowed against the tax imposed by section 2101 for an estate of a nonresident not a citizen, subject to the limitations of section 2102(c).  

When a treaty requires a larger credit, the estate may claim the unified credit that a U.S. citizen or resident would receive ($192,800) multiplied by the proportion of the decedent’s total gross estate that is situated in the United States.  

For certain residents of U.S. possessions (decadents treated as nonresidents not citizens under § 2209), the credit is the greater of $13,000 or $46,800 multiplied by the same U.S.–situated‑estate proportion.  

**References**  
1. Document: CFR‑2025‑title26‑vol16‑part20  
   Type: Tax Document  
   Pages: 282‑283",YES,YES
What is the central argument of the author regarding the Erie doctrine and legal pluralism?,"The author argues that the Supreme Court's current application of the Erie doctrine has ""lost its way"" by lurching between extremes. A better approach, drawing on legal pluralism, would treat conflicts between state and federal law by balancing the competing governmental interests at stake, rather than using a rigid substance-procedure distinction. This is akin to the interest analysis used in horizontal choice-of-law cases and would respect the ""jurisgenerative possibilities of dual sovereignty."" References: Document: ssrn-6832304 Pages: 8, 57-58","The author argues that the Erie doctrine, as presently practiced, has become a set of rigid, opposite‑facing categorical rules—one that forces federal courts to apply state law and another that lets them sidestep state policy by labeling federal rules “procedural.” Both rules ignore the real federalism concerns that diversity jurisdiction was meant to balance. Instead of asking whether a conflict is substantive or procedural, the author contends that a legal‑pluralist approach should ask whether applying the federal rule would undermine an important state policy choice or the settled expectations of those who rely on that state’s law. Erie therefore should be re‑read through an interest‑balancing lens drawn from legal‑pluralism scholarship, allowing federal courts to respect core state policies while still preserving their own procedural interests, rather than being bound by a blanket “state‑law‑only” or “federal‑procedure‑only” rule. This re‑orientation restores the federalist core of diversity jurisdiction and promotes a dialogue between state and federal legal systems.  

References  
1. Document: ssrn-6832304  
   Type: Point-of-View Document  
   Pages: 1-2  
2. Document: ssrn-6832304  
   Type: Point-of-View Document  
   Pages: 57-58",YES,YES
What was the core constitutional holding of the Supreme Court in Berk v. Choy (2026) and how does it relate to the Erie doctrine?,"In Berk v. Choy, the Supreme Court held that a federal rule of procedure, such as Rule 8, automatically displaces any contrary state law in federal diversity cases if the rule is ""arguably applicable,"" without considering the substantive policy aims of the state's rule. Justice Barrett's majority opinion took a formalist, jurispathic approach, treating the Shady Grove plurality as binding and failing to consider whether the federal rule could be interpreted narrowly to avoid undermining state policy. References: Document: ssrn-6832304 Pages: 7-8, 44-46","The Supreme Court held that, under the Constitution’s grant of diversity jurisdiction, a federal court must apply any federal procedural rule that is *arguably* applicable, even when a state rule embodies a substantive policy choice. The decision treats the applicability of a federal procedural rule as automatic and does not require the court to weigh the state’s substantive interests or reliance expectations.  

By adopting this “procedural‑first” rule, Berk v. Choy reshapes the Erie doctrine. Erie requires federal courts sitting in diversity to apply state substantive law and only use federal procedural law. Berk v. Choy expands the scope of federal procedural law, allowing it to displace state law whenever the Court can label the rule procedural, thereby weakening Erie’s balance between state substantive policies and federal procedural uniformity. The holding thus narrows Erie’s traditional limitation on federal courts and permits federal procedural rules to override clear state policy choices.  

**References**  
1. Document: ssrn-6832304  
   Type: Point‑of‑View Document  
   Pages: 8‑8  
2. Document: ssrn-6832304  
   Type: Point‑of‑View Document  
   Pages: 2‑3",YES,YES
"According to the article, what are the three primary institutional forces contributing to the hollowing of federal governance and the rise of ""post-supremacy federalism""?","The hollowing of federal governance is driven by three institutional forces: judicial realignment, where courts selectively assert supremacy in ideologically favored domains while undermining it in others; administrative collapse, through the strategic dismantling of agency capacity and personnel; and legislative paralysis, where Congress fails to update or enforce federal law in key policy areas, often ceding authority to the executive branch. References: Document: ssrn-6832304 Pages: 62","The article attributes the hollowing of federal governance – and the emergence of “post‑supremacy federalism” – to three core institutional forces:

1. **Judicial realignment** – the federal courts now apply the Supremacy Clause selectively, expanding federal supremacy in some areas while abandoning it in others, thereby reshaping rather than withdrawing judicial power.  

2. **Administrative collapse** – the agencies charged with enforcing federal statutes have been gutted or dismantled, leaving the administrative state unable to carry out its enforcement responsibilities.  

3. **Political‑branch paralysis** – Congress is described as “paralyzed” and the executive branch has become increasingly reliant on unilateral action, together producing a failure of coordinated federal enforcement.  

These three forces together erode the baseline of federal presence that traditional models of federalism depend on, creating a regime in which federal law remains on the books but enforcement has retreated, giving rise to post‑supremacy federalism.  

**References**  
1. Document: ssrn-6862399  
   Type: Point‑of‑View Document  
   Pages: 6‑7  
2. Document: ssrn-6862399  
   Type: Point‑of‑View Document  
   Pages: 12‑13",NO,YES
"What is the concept of ""post-supremacy federalism"" and what are its three defining conditions?","Post-supremacy federalism is a structural condition where federal supremacy remains legally intact but its enforcement has ""durably receded or collapsed."" Its three defining conditions are: (1) federal law remains formally in force; (2) federal enforcement has durably retreated or collapsed; and (3) there is no formal devolution of power to the states. This results in a ""governance vacuum"" where states govern by default. References: Document: ssrn-6862399 Pages: 2","Post‑supremacy federalism is a structural condition in which the constitutional doctrine of federal supremacy remains formally on the books, yet its practical force has collapsed. Federal statutes and regulations continue to exist, but the federal government no longer enforces them effectively; states therefore fill the regulatory vacuum, governing “by default” without any formal delegation of authority. The regime is characterized by fragmented, uncertain governance and a lingering “snap‑back” threat that federal power could be re‑asserted at any time.

The concept is identified by three defining conditions:

1. **Statutory persistence** – Federal law remains in force; Congress has not repealed the statute and the federal government retains theoretical authority.  
2. **Retreat of federal enforcement** – Federal agencies cease to enforce the law, and courts may narrow or decline to adjudicate it, producing a durable withdrawal of enforcement capacity.  
3. **Absence of formal devolution** – The federal government does not formally cede the power to the states; instead, states step in by necessity, operating without a negotiated transfer of authority.

These three criteria distinguish post‑supremacy federalism from cooperative, dual, or uncooperative federalism models and describe a governance regime where federal supremacy is “binding in law, hollow in implementation.”

References
1. Document: ssrn-6862399  
   Type: Point-of-View Document  
   Pages: 6
2. Document: ssrn-6862399  
   Type: Point-of-View Document  
   Pages: 11-12
3. Document: ssrn-6862399  
   Type: Point-of-View Document  
   Pages: 21-22",NO,YES
How does the Supreme Court's decision in City of Grants Pass v. Johnson (2024) illustrate the narrow constitutional protection against status-based punishment?,"Grants Pass completed the doctrinal narrowing begun in Powell. The Court held that enforcement of anti-camping ordinances against homeless individuals regulates conduct, not the status of homelessness, even when sleeping outside is an unavoidable incident of that status. This formalist approach recharacterized identity-based harms as conduct regulation, leaving individuals without shelter vulnerable to prosecution and showing that direct constitutional protection against status-based punishment is now limited. References: Document: ssrn-6862399 Pages: 4","The Court’s ruling in **City of Grants Pass v. Johnson** demonstrates that constitutional protection against status‑based punishment has been reduced to a very narrow core: only a law that *directly* criminalizes a person’s status is barred by the Eighth Amendment.  

* The majority held that Oregon’s anti‑camping ordinances—prohibiting sleeping on public property with a blanket, pillow or similar covering—regulate **conduct**, not the **status of homelessness**.  By emphasizing that the rules apply “to all persons equally” and that the Eighth Amendment “constrains only punishment after conviction, not the scope of conduct subject to criminalization,” the Court refused to treat the ordinances as a punishment of status itself【ssrn-6926680, Point‑of‑View Document, 8‑9】.  

* The decision expressly rejected extending **Robinson v. California** beyond its holding that a statute that criminalizes a status outright is unconstitutional.  The Court declined a “functional inquiry” into whether the regulated conduct is an involuntary incident of homelessness, thereby limiting Robinson’s reach【ssrn-6926680, Point‑of‑View Document, 8‑9】.  

* By characterizing the ordinance as conduct regulation, the Court “forecloses the most viable pathway for challenging regulation of conduct that is an involuntary incident of status,” confirming that when a law is framed as conduct, constitutional objections based on status‑based punishment fail【ssrn-6926680, Point‑of‑View Document, 9‑10】.  

* This recharacterization technique—recasting a status‑targeted rule as a neutral conduct rule—has become the Court’s standard analytical move, illustrating the doctrinal shift from protecting individuals from status‑based criminalization to allowing facially neutral conduct regulations that effectively penalize the status to stand【ssrn-6926680, Point‑of‑View Document, 3‑4】.  

Thus, **City of Grants Pass v. Johnson** epitomizes the Supreme Court’s narrowed constitutional shield: only explicit criminalization of a status is prohibited, while conduct‑based ordinances that indirectly punish that status escape Eighth Amendment scrutiny.  

**References**  
1. Document: ssrn-6926680  
   Type: Point‑of‑View Document  
   Pages: 8‑9  
2. Document: ssrn-6926680  
   Type: Point‑of‑View Document  
   Pages: 9‑10  
3. Document: ssrn-6926680  
   Type: Point‑of‑View Document  
   Pages: 3‑4",NO,YES
"What are the key negative stereotypes and criticisms that conservative commentators have leveled against the use of emotional support animals, as discussed in the article?","Conservative commentators have framed emotional support animals as an indication of societal decay, individual weakness, and a ""cult of personal fragility."" They see them as a way for people to claim ""victimhood"" and take advantage of overly generous laws. This rhetoric often labels those with emotional support animals as ""entitled,"" ""exploitive,"" or simply ""weak,"" focusing on the abuse of the system rather than the therapeutic benefits for disabled individuals. References: Document: ssrn-6862399 Pages: 5-6","Conservative commentators portray emotional‑support‑animal (ESA) owners as emblematic of personal weakness and entitlement.  George Will, for example, dismissed ESAs as evidence of “a cult of personal fragility… a quest for the coveted status of ‘victimhood’” and condemned those who “embrace the therapeutic mission of assuaging the anxieties of the emotionally brittle.” He and other right‑leaning voices routinely label ESA users as “entitled, exploitive, or simply weak,” casting them as “takers” who exploit generous laws and contribute to a broader narrative of societal decay. The criticism extends to the view that ESAs symbolize an overreach by the disability‑rights movement and a cultural shift that rewards “victim mentality” rather than personal resilience. These stereotypes frame ESA owners as freeloaders who abuse the system and undermine hard‑working Americans.  

References  
1. Document: ssrn-6885858  
   Type: Point‑of‑View Document  
   Pages: 5‑6  
2. Document: ssrn-6885858  
   Type: Point‑of‑View Document  
   Pages: 4‑5",NO,YES
