Question,Answer,Source
"What is the central argument of the thesis regarding the ""definitional quagmire"" in crypto-asset taxation?","The thesis argues that a fundamental crisis exists in the collision between ""borderless, fluid digital assets and territorially anchored, rigid tax laws."" The lack of a uniform legal taxonomy for digital assets results in legal uncertainty and enforcement gaps. While the EU's MiCA regulation has harmonized the commercial identity of digital assets, a critical gap remains regarding their ""fiscal"" identity, as the same token can be treated as currency, commodity, or property depending on the Member State.","ssrn-6888158, Page 8-9, 12"
"What is the EU's ""DAC8"" directive, and what is its primary purpose regarding cryptocurrency?","DAC8 (the Eighth Directive on Administrative Cooperation) is the EU's framework for tax transparency in the crypto-asset economy. Its primary purpose is to extend the automatic exchange of information (AEOI) regime, previously only for bank accounts, to crypto-assets. It creates a new reporting obligation for ""Reporting Crypto-Asset Service Providers"" (RCASPs), requiring them to report data on exchange transactions (crypto-to-fiat and crypto-to-crypto), transfers, and certain retail payment transactions to tax authorities.","ssrn-6888158, Page 21"
"How does the UK's approach to taxing crypto-assets differ from the EU's codified approach, and what is the advantage of the UK model?","The UK, through HMRC, adopts a more flexible, case-law-driven approach, applying the ""Badges of Trade"" test to distinguish between investment activity (Capital Gains Tax) and trading activity (Income Tax). This is in contrast to the EU's rigid, codified system (e.g., Germany's 1-year speculation period). The advantage of the UK model is that it allows the system to adapt to new DeFi innovations without waiting for new legislation, providing greater legal certainty for businesses and institutional investors.","ssrn-6888158, Page 27-28"
What are the key regulatory differences between the US and the EU regarding the admissibility of expert evidence in antitrust proceedings?,"In the US, the admissibility of expert testimony is governed by a formal regulatory framework, primarily Federal Rule of Evidence 702 (and the Daubert factors), which acts as a judicial gatekeeping mechanism requiring that the expert's testimony is reliable and relevant. In the EU, the regulatory framework is less formal, relying on a combination of soft law from the European Commission and judicial standards developed by the CJEU, which focus on explaining the expert's qualifications and the relevance of the answer, resembling Rule 702 but with less emphasis on data quality.","ssrn-6892980, Page 16-20"
"In FTC v. Meta Platforms, Inc., what did Judge Boasberg's ruling identify as the decisive factor for finding that Meta did not have monopoly power?","The decisive factor was the timing and the definition of the relevant market. The judge ruled that the FTC failed to demonstrate that Meta held a monopoly ""at the time of the trial,"" which was in 2025. The court concluded that Meta operates in a market that now includes competitors such as TikTok and YouTube, and that the FTC had not presented enough empirical evidence of substitution to prove that Meta continued to have monopoly power.","ssrn-6892980, Page 2"
"What is the concept of ""epistemic power"" as defined in the article, and how does it manifest in the FTC v. Meta Platforms, Inc. case?","""Epistemic power"" refers to the differing levels of privilege and underprivilege related to knowledge possession, attribution, production, and creation. In the FTC v. Meta Platforms, Inc. case, Meta's epistemic power is demonstrated through its access to and control over massive amounts of internal user data. The court heavily relied on this data and the interpretation provided by Meta's experts and employees, such as John List's experiment and Meta's internal surveys, to define the relevant market and understand consumer behavior.","ssrn-6892980, Page 5, 33"
"What is the ""American Feudalism"" framework proposed in this article, and what does it aim to reconceptualize?","The ""American Feudalism"" framework is proposed to reconceptualize the status of Black people in Antebellum America. It argues that Black people, particularly enslaved individuals, did not exist within the American democratic political structure but under a separate regime parallel to it. This regime was reminiscent of English feudalism, characterized by fragmented sovereignty, coercive interdependence, and subjecthood, rather than democratic citizenship. The framework suggests that Black people were governed as subjects, not citizens, operating under a system of localized, coercive authority.","ssrn-6913782, Page 2-3"
"How did the Supreme Court's decision in Dred Scott v. Sandford (1857) define U.S. citizenship in a way that excluded Black people, and what was the article's critique of this reasoning?","In Dred Scott, the Court held that descendants of Africans brought to the Americas were not citizens because they were considered beings of an inferior order who had no rights the white man was bound to respect. The article criticizes the Court's reasoning for relying on incomplete and tendentious historical anecdotes, misapplying the text of the Constitution and Declaration of Independence, and using unspoken premises to craft a narrative of Black inferiority, calling the opinion a red herring that used selective laws to prove its predetermined conclusion.","ssrn-6913782, Page 30-31, 35"
"According to the article, what were the two main theories of political thought from Hobbes and Locke that informed the American concept of citizenship, and how did they both contain limitations for universal equality?","Thomas Hobbes's theory, as expressed in Leviathan, posited that individuals must relinquish their power to a sovereign in exchange for peace, creating absolute obedience. John Locke's theory, in Two Treatises, argued individuals form governance to protect life, liberty, and property, with authority limited by consent. Both contained limitations: Hobbes's required absolute subjection, and Locke's theory of freedom structurally permitted one individual to dominate another, failing to provide a universal basis for citizenship that included all people.","ssrn-6913782, Page 10"
"What is ""status-based regulation"" as defined in the article, and what are its three defining features?","Status-based regulation is a governance form in which identity, rather than conduct, triggers administrative intervention, often through facially neutral mechanisms. Its three defining features are: (1) identity functions as the operative trigger for administrative intervention; (2) identity operates as a structuring principle of the institutional system; and (3) the regime produces systematic, identity-correlated enforcement outcomes not explained by neutral application of its stated purposes.","ssrn-6926680, Page 13"
"How does the Supreme Court's decision in United States v. Skrmetti (2025) exemplify the ""recharacterization"" move to avoid heightened scrutiny, and what are the implications for constitutional review?","In Skrmetti, the Court recharacterized Tennessee's prohibition on gender-affirming medical care for minors as an age- and medical-use distinction rather than a sex- or transgender-status classification. This replicated the recharacterization move from earlier cases like Powell and Grants Pass, effectively foreclosing heightened scrutiny for transgender-status classifications, creating a significant hurdle for challenging identity-based regulation since courts can redescribe facially neutral frameworks to avoid the most searching review.","ssrn-6926680, Page 4, 30-31"
"The article discusses the ""over-policing and under-protection asymmetry"" in LGBTQ communities. What does this concept entail?","The ""over-policing and under-protection asymmetry"" refers to the phenomenon where LGBTQ communities face high levels of surveillance and regulatory scrutiny in public spaces (over-policing), but simultaneously experience inadequate institutional responses to victimization (under-protection). This structural asymmetry treats identity as a basis for intervention when framed as disorder, yet minimizes it when individuals seek protection from harm, a pattern most acute for transgender women of color and other intersectionally vulnerable groups.","ssrn-6926680, Page 37"
"The article formalizes five leading theories of constitutional interpretation. According to the formal models, which theories impose the tightest constraints on judicial discretion, and which impose the loosest?","According to the formal models, originalism and textualism impose the tightest constraints on judicial discretion, excluding roughly two-thirds of logically possible holdings in typical cases. Living constitutionalism and pragmatism impose the loosest constraints, excluding only about one-tenth of possible holdings. Structuralism occupies an intermediate position.","ssrn-6927178, Page 13"
"What is the ""Impossibility of Value-Neutral Interpretation"" corollary, and what does it prove?","The corollary proves that there does not exist an interpretive theory and a non-degenerate constitutional provision such that the value elasticity of interpretation is zero. This means that no theory can deliver value-neutral, discretion-free interpretation when textual ambiguity is present. Because ambiguity persists, subjective judicial values will inevitably influence the decision, making complete objectivity impossible.","ssrn-6927178, Page 18"
"What is the ""meta-choice problem"" in constitutional interpretation, and why does the article argue it cannot be resolved by formal properties alone?","The ""meta-choice problem"" refers to the question of how a Justice should choose among the competing interpretive theories. The article argues that this choice cannot be made on purely formal grounds because the ranking of theories depends on incommensurable values: fidelity to the past, semantic discipline, institutional coherence, moral responsiveness, or welfare maximization. The selection of one framework over another reflects a prior normative commitment, not a formal superiority.","ssrn-6927178, Page 22"
"What is the article's proposed interpretation of ""subject to the jurisdiction thereof"" in the Fourteenth Amendment's Citizenship Clause, and what are the four elements of this interpretation?","The article concludes that the best constrained synthesis is ""complete jurisdiction."" The four elements of this interpretation are: (1) birth under operative U.S. territorial authority; (2) accepted sovereign protection; (3) direct local allegiance; and (4) no recognized displacing sovereign-status relation. Soil remains the ordinary proof path, but it is not the whole constitutional predicate.","ssrn-6934818, Page 5"
"According to the article, how should the ""foundlings"" category be treated in the context of birthright citizenship analysis, and what is its legal function?","Foundlings should be treated as an ""implementation and evidentiary fixed point,"" not as proof of a verified common-law rule. The article uses foundlings to establish a proof discipline: when birth and parentage facts are unavailable and no displacing sovereign-status record appears, U.S. nationality law and administrative practice use a presumption of birth/citizenship to avoid impossible proof demands, supporting the broader ""presumption-plus-trigger"" administrative structure.","ssrn-6934818, Page 19-20"
"How does the article characterize ""bare unlawful entry"" in relation to the ""accepted sovereign protection"" element of its complete jurisdiction model?","Bare unlawful entry is characterized as ""materially adverse evidence"" against a finding of accepted sovereign protection because it negates entry permission, residence-like recognition, and settlement under law. However, the article emphasizes that it is not itself a recognized displacing sovereign-status relation (like diplomatic immunity or hostile occupation); it may trigger a record-effect inquiry into the affirmative elements, but cannot be used as a hereditary rule of exclusion or a moral judgment against the child.","ssrn-6934818, Page 20, 35, 39"
"According to the article, what is the ""traditional rule"" of birthright citizenship that the Fourteenth Amendment codified, and how does it handle so-called exceptions?","The traditional rule, inherited from English common law and codified in the Fourteenth Amendment, is that natural-born citizens are those born within the United States and subject to the jurisdiction thereof. The so-called ""exceptions"" (e.g., diplomats, invading armies, Native Americans) are not ad hoc carveouts but examples of particular applications of the general rule, expressing the limits of the rule's scope: individuals not subject to the governing authority and protection of the sovereign are not citizens.","ssrn-6948480, Page 10-11"
The article discusses the proper method for originalist interpretation. What is the role of legislative history and the intentions of the drafters in this method?,"The article argues for an originalist method that focuses on the ""original public meaning"" of the constitutional text, not the ""concrete intentions"" or ""expectation intentions"" of the drafters. While historical evidence regarding the views of the drafters is taken seriously, the goal is to understand the rule embodied in the constitutional text, not to identify how they might have wanted it to be applied in the future. The text is the law, and individual statements by lawmakers are not authoritative.","ssrn-6948480, Page 5"
"The article examines the notion that ""allegiance"" might be a key requirement for birthright citizenship. What evidence do the authors present to refute this idea?","The authors refute the allegiance requirement by arguing that the term ""subject to the jurisdiction"" was clear legal language in 1866, while ""allegiance"" was a term with many meanings and would have created more ambiguity. They note that the congressional debates that did discuss allegiance were confused and that the drafters deliberately chose not to use the language of allegiance, instead using the clear and well-understood legal concept of jurisdiction to communicate the traditional common law rule.","ssrn-6948480, Page 82"
"What is the concept of ""proceduralism"" in the context of the ECtHR's mass surveillance caselaw, and what are its consequences?","Proceduralism refers to the ECtHR's turn from conducting a substantive structured proportionality test to a purely procedural review in mass surveillance cases. The Court now primarily checks whether the legal framework for a surveillance regime meets an eight-part procedural test (in accordance with law), while assuming the necessity and proportionality of the measure. This effectively grants states a ""carte blanche"" for increasingly intrusive surveillance measures, legitimizing mass surveillance and emptying the right to privacy of its protective characteristics.","ssrn-6943798, Page 3"
"The article discusses the concept of an ""inviolable essential core"" of the right to privacy. How was this core recognized in the ECtHR's judgment in Podchasov v. Russia (2024)?","In Podchasov v. Russia, the ECtHR recognized the existence of an essential core of Article 8 privacy rights. The Court held that a Russian law permitting public authorities to have generalised, direct, and indiscriminate access to the content of electronic communications impairs the very essence of the right to respect for private life. This finding closed the case without the need for a further proportionality assessment, showing that the essential core can serve as a bright line that must not be crossed, even in the name of national security.","ssrn-6943798, Page 3, 14"
"What are the three logical fallacies of the ""liberty-security conundrum"" that the article identifies in the post-9/11 security discourse?","The three fallacies are: (1) the threat to human rights from terrorism is not balanced with that from the state, since state powers can increase and be used against its own citizens; (2) the trade-off is often interpersonal, as those who gain security and those who suffer human rights harm are not the same, with minorities and non-citizens paying the highest price; and (3) the psychological reassurance of drastic government response can be mistaken for actual security, leading to a sacrifice of liberty for the mere potential of security.","ssrn-6943798, Page 7-8"
How have the European Court of Human Rights (ECtHR) and the Court of Justice of the European Union (CJEU) influenced each other's approach to mass surveillance?,"The ECtHR's permissive caselaw on mass surveillance (e.g., Big Brother Watch and Centrum for rattvisa) has influenced the CJEU to adopt a similar deferential approach. Initially, the CJEU was more protective of privacy, rejecting indiscriminate data retention (e.g., Digital Rights Ireland). However, starting with La Quadrature du Net, the CJEU introduced a national security exemption, effectively aligning itself with the ECtHR's proceduralist approach and recognizing that bulk data collection can be proportionate when national security is invoked.","ssrn-6943798, Page 18-19"
"The article discusses the normalisation of mass surveillance in Europe. What example does it give of a law being passed to legalize new surveillance technologies, and what are the human rights risks?","The article cites France's law on the 2024 Olympic Games, which created a legal basis for ""algorithmic video surveillance"" (AVS). The human rights risks are significant as AVS relies on AI to process images in real-time to identify suspicious individuals, effectively legalizing biometric mass surveillance. The article argues that AVS threatens the essence of the right to privacy and data protection, but if the ECtHR applies the same deferential procedural review as in Big Brother Watch, it may be deemed compatible with the ECHR.","ssrn-6943798, Page 26-27"
"According to the article, what role does the common law concept of ""protection"" play in the birthright citizenship rule, and what was the key distinction the authors make to refute restrictive readings?","The article explains that ""protection"" at common law primarily referred to the guarantee of legal process (due process) and not a special status granted by sovereign consent. The key distinction is that while a sovereign could grant ""particular protection"" (like a writ of safe conduct) to exceptional individuals, the general protection of the law extended to all aliens in amity. The loss of this general protection came only from war or a formal process like attainder, not from a lack of permission to enter.","ssrn-6948480, Page 54-55"
"How does the article address the argument that the Civil Rights Act of 1866's reference to ""not subject to any foreign power"" supports an allegiance-based requirement in the Fourteenth Amendment?","The article argues that the Civil Rights Act of 1866 and the Fourteenth Amendment have different language. The Civil Rights Act's ""not subject to any foreign power"" was a confusing formulation that was replaced with the ""better language"" of the Fourteenth Amendment's ""subject to the jurisdiction thereof."" The drafters of the Fourteenth Amendment wanted a general jurisdictional predicate, not the foreign-power/Indian-exclusion formula from the 1866 statute, so using the text of the 1866 Act to interpret the 1868 Amendment is a drafting mistake.","ssrn-6948480, Page 73-74, 86"
